,title,Link,Price,Items sold,Province,Rating
0,"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display",//www.daraz.com.np/products/lenovo-v15-celeron-4gb-ram-256gb-ssd156-inch-hd-display-i117911554.html,"Rs. 33,998",113 sold,Bagmati Province,(23)
1,Dell Vostro 3520 I3-12th gen 8GB RAM/512GB SSD/15.6 Display,//www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-ram512gb-ssd156-display-i118372728.html,"Rs. 52,347",97 sold,Bagmati Province,(24)
2,"Lenovo Ideapad 1 15lGL7 11thGen Intel Celeron N4020 8GB DDR4 RAM 256GB SSD 15.6""' HD Display",//www.daraz.com.np/products/lenovo-ideapad-1-15lgl7-11thgen-intel-celeron-n4020-8gb-ddr4-ram-256gb-ssd-156-hd-display-i129279800.html,"Rs. 36,497",9 sold,Bagmati Province,(3)
3,Dell Latitude E5300 i5-8th Gen 8GB 256 SSD 13.3â€³ Ultrabook,//www.daraz.com.np/products/dell-latitude-e5300-i5-8th-gen-8gb-256-ssd-133-ultrabook-i128496077.html,"Rs. 44,999",21 sold,Bagmati Province,(5)
4,"Dell Vostro 3520 i3 12th Gen | 8GB RAM | 512GB SSD | 15.6"" FHD 120Hz Display Laptop",//www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-ram-512gb-ssd-156-fhd-120hz-display-laptop-i128509518.html,"Rs. 49,499",12 sold,Bagmati Province,(3)
5,"Dell Vostro 3520 Core i5 12th Gen/ 12GB RAM/512 GB SSD/15.6"" FHD/Win 11",//www.daraz.com.np/products/dell-vostro-3520-core-i5-12th-gen-12gb-ram512-gb-ssd156-fhdwin-11-i129162509.html,"Rs. 65,990",11 sold,Bagmati Province,(2)
6,"Lenovo V15 celeron Laptop 4GB,256GB SSD,15.6 inch Display",//www.daraz.com.np/products/lenovo-v15-celeron-laptop-4gb256gb-ssd156-inch-display-i128162455.html,"Rs. 33,997",8 sold,Bagmati Province,(2)
7,"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black",//www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-black-i129411877.html,"Rs. 67,999",69 sold,Bagmati Province,(23)
8,Dell Latitude E7490 Laptop I7-8th Gen 256 GB SSD 8 GB RAM Ultrabook,//www.daraz.com.np/products/dell-latitude-e7490-laptop-i7-8th-gen-256-gb-ssd-8-gb-ram-ultrabook-i123539511.html,"Rs. 52,379",16 sold,Bagmati Province,(4)
9,Lenovo Ideapad 1 Intel Celeron Processor 4 GB RAM 128 GB SSD 14 inch Display - OTE,//www.daraz.com.np/products/lenovo-ideapad-1-intel-celeron-processor-4-gb-ram-128-gb-ssd-14-inch-display-ote-i120789072.html,"Rs. 36,000",21 sold,Bagmati Province,(1)
10,"Acer Swift 3 Laptop /Ryzen 7 5700U/8GB/512 GB/14"" FHD/Backlit Keyboard/Win 10",//www.daraz.com.np/products/acer-swift-3-laptop-ryzen-7-5700u8gb512-gb14-fhdbacklit-keyboardwin-10-i110946950.html,"Rs. 105,000",8 sold,Bagmati Province,(3)
11,Dell 7390 i7 8th Gen 16gb RAM 256gb SSD 360 Touchscreen With Backlit Keyboard,//www.daraz.com.np/products/dell-7390-i7-8th-gen-16gb-ram-256gb-ssd-360-touchscreen-with-backlit-keyboard-i113806447.html,"Rs. 83,000",5 sold,Bagmati Province,(1)
12,"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop",//www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-display-laptop-i129017788.html,"Rs. 51,799",65 sold,Bagmati Province,(15)
13,"Lenovo V15 celeron Laptop 4GB,256GB SSD,15.6 inch Display",//www.daraz.com.np/products/lenovo-v15-celeron-laptop-4gb256gb-ssd156-inch-display-i117885136.html,"Rs. 33,999",17 sold,Bagmati Province,(6)
14,"Dell Vostro 3520 Core i5 12th Gen/ 16GB RAM/512 GB SSD/15.6"" FHD/Win 11",//www.daraz.com.np/products/dell-vostro-3520-core-i5-12th-gen-16gb-ram512-gb-ssd156-fhdwin-11-i129919581.html,"Rs. 66,990",23 sold,Bagmati Province,(3)
15,"HONOR MagicBook X14 (2023), 12th Gen Intel Core i5-12450H (8GB/512GB NVMe SSD, 14-inch (35.56 cm) FHD IPS Anti-Glare T&L Laptop/Win 11/Backlit Keyboard/Fingerprint Login/1.43Kg), Gray",//www.daraz.com.np/products/honor-magicbook-x14-2023-12th-gen-intel-core-i5-12450h-8gb512gb-nvme-ssd-14-inch-3556-cm-fhd-ips-anti-glare-tl-laptopwin-11backlit-keyboardfingerprint-login143kg-gray-i128169275.html,"Rs. 119,000",6 sold,Bagmati Province,(1)
16,Acer Swift Go 14 Intel Evo i5 13th Gen 13500H â€“ 16GB DDR5 RAM â€“ 512GB NVMe SSD â€“ Intel Integrated Graphics â€“ 14inch 2.8K OLED ( 2880 x 1800 ) 400nits Display â€“ Backlit Keyboard - Silver,//www.daraz.com.np/products/acer-swift-go-14-intel-evo-i5-13th-gen-13500h-16gb-ddr5-ram-512gb-nvme-ssd-intel-integrated-graphics-14inch-28k-oled-2880-x-1800-400nits-display-backlit-keyboard-silver-i128946946.html,"Rs. 99,999",17 sold,Bagmati Province,(5)
17,"Dell Latitude E5400 I5-8th Gen | 8 GB RAM | 256 GB SSD | 14"" Screen",//www.daraz.com.np/products/dell-latitude-e5400-i5-8th-gen-8-gb-ram-256-gb-ssd-14-screen-i129314954.html,"Rs. 42,951",16 sold,Bagmati Province,(1)
18,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black",//www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-8gb-ram-256gb-ssd-156-120hz-fhd-black-i128524301.html,"Rs. 62,499",17 sold,Bagmati Province,(8)
